Country/Region;Confirmed;Deaths;Recovered;Active;New cases;New deaths;New recovered;Deaths / 100 Cases;Recovered / 100 Cases;Deaths / 100 Recovered;Confirmed last week;1 week change;1 week % increase;WHO Region
Afghanistan;36263;1269;25198;9796;106;10;18;treinta;6949;5.04;35526;737;207;Eastern Mediterranean
Albania;4880;NaN;2745;1991;117;6;63;295;5625;5.25;4171;709;170;Europe
Algeria;;1163;18837;7973;616;8;749;416;6734;6.17;23691;4282;1807;Africa
Andorra;907;52;803;52;10;0;0;573;8853;6.48;884;23;26;Europe
Angola;950;41;242;667;18;1;0;432;2547;16.94;749;201;2684;Africa
Antigua and Barbuda;86;3;65;18;4;0;5;349;7558;4.62;76;10;1316;Americas
Argentina;167416;3059;72575;91782;4890;120;2057;183;4335;4.21;130774;36642;2802;Americas
Armenia;37390;711;26665;10014;73;6;187;19;7132;2.67;34981;2409;689;Europe
Australia;15303;167;9311;5825;368;6;137;109;6084;1.79;12428;2875;2313;Western Pacific
Austria;20558;713;18246;1599;86;1;37;347;8875;3.91;19743;815;413;Europe
Azerbaijan;30446;423;23242;6781;396;6;558;139;7634;1.82;27890;2556;916;Europe
Bahamas;382;11;;280;40;0;0;288;2382;12.09;174;208;11954;Americas
Bahrain;39482;141;36110;3231;351;1;421;36;9146;0.39;36936;2546;689;Eastern Mediterranean
Bangladesh;226225;2965;125683;97577;2772;37;1801;131;5556;2.36;207453;18772;905;South-East Asia
Barbados;110;7;94;9;0;0;0;636;8545;7.45;106;4;377;Americas
Belarus;67251;538;60492;6221;119;4;67;8;8995;0.89;66213;1038;157;Europe
Belgium;66428;9822;17452;39154;402;1;14;1479;2627;56.28;64094;2334;364;Europe
Belize;48;2;26;20;0;0;0;417;5417;7.69;40;8;200;Americas
Benin;1770;35;1036;699;0;0;0;198;5853;3.38;1602;168;1049;Africa
Bhutan;99;0;86;13;4;0;1;0;8687;0.0;90;9;100;South-East Asia
Bolivia;71181;2647;21478;47056;1752;64;309;372;3017;12.32;60991;10190;1671;Americas
Bosnia and Herzegovina;10498;294;4930;NaN;731;14;375;28;4696;5.96;8479;2019;2381;Europe
Botswana;739;2;63;674;53;1;11;27;853;3.17;522;217;4157;Africa
Brazil;2442375;87618;;508116;23284;614;33728;359;7561;4.74;2118646;323729;1528;Americas
Brunei;141;3;138;0;0;0;0;213;9787;2.17;141;0;0;Western Pacific
Bulgaria;10621;347;5585;4689;194;7;230;327;5258;6.21;8929;1692;1895;Europe
Burkina Faso;1100;53;926;121;14;0;6;482;8418;5.72;1065;35;329;Africa
Burma;350;6;292;52;0;0;2;171;8343;2.05;341;9;264;South-East Asia
Burundi;378;1;301;76;17;0;22;26;7963;0.33;322;56;1739;Africa
Cabo Verde;2328;22;1550;756;21;0;103;95;6658;1.42;2071;257;1241;Africa
Cambodia;226;0;147;79;1;0;4;0;6504;0.0;171;55;3216;Western Pacific
Cameroon;17110;391;14539;2180;402;6;0;229;8497;2.69;16157;953;59;Africa
Canada;116458;8944;0;107514;682;11;0;768;0;inf;112925;3533;313;Americas
Central African Republic;4599;59;1546;2994;0;0;0;128;3362;3.82;4548;51;112;Africa
Chad;922;75;810;37;7;0;0;813;8785;9.26;889;33;371;Africa
Chile;347923;9187;319954;18782;2133;75;1859;264;9196;2.87;333029;14894;447;Americas
China;86783;4656;78869;3258;213;4;7;537;9088;5.9;85622;1161;136;Western Pacific
Colombia;257101;8777;131161;117163;16306;NaN;11494;341;5102;6.69;204005;53096;2603;Americas
Comoros;354;7;328;19;0;0;0;198;9266;2.13;334;20;599;Africa
Congo (Brazzaville);3200;54;829;2317;162;3;73;169;2591;6.51;2851;349;1224;Africa
Congo (Kinshasa);8844;208;5700;2936;13;4;190;235;6445;3.65;8443;401;475;Africa
Costa Rica;15841;115;3824;11902;612;11;88;73;2414;3.01;11534;4307;3734;Americas
Cote d'Ivoire;15655;96;10361;5198;59;0;183;61;6618;0.93;14312;1343;938;Africa
Croatia;4881;139;3936;806;24;3;70;285;8064;3.53;4370;511;1169;Europe
Cuba;2532;87;2351;94;37;0;2;344;9285;3.7;2446;86;352;Americas
Cyprus;1060;19;852;189;3;0;0;179;8038;2.23;1038;22;212;Europe
Czechia;15516;373;11428;3715;192;2;0;24;7365;3.26;14098;1418;1006;Europe
Denmark;13761;613;12605;543;109;0;77;NaN;916;4.86;13453;308;229;Europe
Djibouti;5059;58;4977;24;9;0;11;115;9838;1.17;5020;39;78;Eastern Mediterranean
Dominica;18;0;18;0;0;0;0;0;1000;0.0;18;0;0;Americas
Dominican Republic;64156;1083;30204;32869;error;20;1601;169;4708;3.59;53956;10200;189;Americas
Ecuador;81161;5532;34896;40733;467;17;0;682;430;15.85;74620;6541;877;Americas
Egypt;92482;4652;34838;52992;420;46;1007;503;3767;13.35;88402;4080;462;Eastern Mediterranean
El Salvador;15035;408;7778;6849;405;8;130;271;5173;5.25;12207;2828;2317;Americas
Equatorial Guinea;3071;51;842;2178;0;0;0;166;2742;6.06;3071;0;0;Africa
Eritrea;265;0;191;74;2;0;2;0;7208;0.0;251;14;558;Africa
Estonia;2034;69;1923;42;0;0;1;uno;9454;3.59;2021;13;64;Europe
Eswatini;2316;34;1025;1257;109;2;39;147;4426;3.32;1826;490;2683;Africa
Ethiopia;14547;228;6386;7933;579;5;170;157;439;3.57;10207;4340;4252;Africa
Fiji;27;0;18;9;0;0;0;0;6667;0.0;27;0;0;Western Pacific
Finland;7398;329;6920;149;5;0;0;445;9354;4.75;7340;58;79;Europe
France;220352;30212;81212;108928;2551;17;267;1371;3686;37.2;214023;6329;296;Europe
Gabon;7189;49;4682;2458;205;0;219;68;6513;1.05;6433;756;1175;Africa
Gambia;326;8;66;252;49;2;6;245;2025;12.12;112;214;19107;Africa
Georgia;1137;16;922;199;6;0;2;141;8109;1.74;1039;98;943;Europe
Germany;207112;9125;190314;7673;445;1;259;441;9189;4.79;203325;3787;186;Europe
Ghana;33624;168;29801;3655;655;0;307;error;8863;0.56;28430;5194;1827;Africa
Greece;4227;202;1374;2651;34;0;0;478;3251;14.7;4012;215;536;Europe
Greenland;14;0;13;1;1;0;0;0;9286;0.0;13;1;769;Europe
Grenada;23;0;23;0;0;0;0;0;1000;0.0;23;0;0;Americas
Guatemala;45309;1761;32455;11093;256;27;843;389;7163;5.43;39039;6270;1606;Americas
Guinea;7055;45;6257;753;47;2;105;64;8869;0.72;6590;465;706;Africa
Guinea-Bissau;1954;26;803;1125;0;0;0;133;411;3.24;1949;5;26;Africa
Guyana;389;20;181;188;19;0;0;cinco;4653;11.05;337;52;1543;Americas
Haiti;7340;158;4365;2817;25;1;0;215;5947;3.62;7053;287;407;Americas
Holy See;12;0;12;0;0;0;0;0;1000;0.0;12;0;0;Europe
Honduras;39741;1166;5039;33536;465;50;117;293;1268;23.14;34611;5130;1482;Americas
Hungary;4448;596;3329;523;13;0;0;134;7484;17.9;4339;109;251;Europe
Iceland;1854;10;1823;21;7;0;0;54;9833;0.55;1839;15;82;Europe
India;cinco;33408;951166;495499;44457;637;33598;226;6426;3.51;1155338;324735;2811;South-East Asia
Indonesia;100303;4838;58173;37292;1525;57;1518;482;580;8.32;88214;12089;137;South-East Asia
Iran;293606;15912;255144;22550;2434;212;1931;542;869;6.24;276202;17404;63;Eastern Mediterranean
Iraq;112585;4458;77144;30983;2553;96;1927;396;6852;5.78;94693;17892;1889;Eastern Mediterranean
Ireland;25892;1764;23364;764;11;0;0;681;9024;7.55;25766;126;49;Europe
Israel;63985;474;27133;36378;2029;4;108;74;4241;1.75;52003;11982;2304;Europe
Italy;;35112;198593;12581;168;5;147;1426;8064;17.68;244624;1662;68;Europe
Jamaica;853;10;714;129;11;0;0;117;837;1.4;809;44;544;Americas
Japan;31142;998;21970;8174;594;0;364;32;7055;4.54;25706;5436;2115;Western Pacific
Jordan;1176;11;1041;124;8;0;0;94;8852;1.06;1223;-47;-384;Eastern Mediterranean
Kazakhstan;84648;585;54404;29659;1526;0;1833;69;6427;;73468;11180;1522;Europe
Kenya;17975;285;7833;9857;372;5;90;;4358;3.64;13771;4204;3053;Africa
Kosovo;7413;185;4027;3201;496;16;274;25;5432;4.59;5877;1536;2614;Europe
Kuwait;64379;438;55057;8884;606;5;684;68;8552;0.8;59763;4616;772;Eastern Mediterranean
Kyrgyzstan;33296;1301;21205;;483;24;817;391;6369;6.14;27143;6153;2267;Europe
Laos;20;0;19;1;0;0;0;0;950;0.0;19;1;526;Western Pacific
Latvia;1219;31;1045;143;0;0;0;254;8573;2.97;1192;27;227;Europe
Lebanon;3882;51;1709;2122;132;0;;131;4402;2.98;2905;977;3363;Eastern Mediterranean
Lesotho;505;12;128;365;0;0;0;238;2535;9.38;359;146;4067;Africa
Liberia;1167;72;646;449;5;0;5;617;5536;11.15;1107;60;542;Africa
Libya;2827;64;577;2186;158;4;24;226;2041;11.09;1980;847;4278;Eastern Mediterranean
Liechtenstein;86;1;81;4;0;0;0;116;9419;1.23;86;0;0;Europe
Lithuania;2019;80;1620;319;11;0;4;396;8024;4.94;1947;72;37;Europe
Luxembourg;6321;112;4825;1384;49;0;178;177;7633;2.32;5639;682;1209;Europe
Madagascar;9690;91;6260;3339;395;6;681;94;646;1.45;7153;2537;3547;Africa
Malawi;3664;99;1645;1920;24;0;6;27;449;6.02;2992;672;2246;Africa
Malaysia;8904;124;8601;179;7;0;1;139;966;1.44;8800;104;118;Western Pacific
Maldives;3369;15;2547;807;67;0;19;45;756;0.59;2999;370;1234;South-East Asia
Mali;2513;124;1913;476;3;1;2;493;7612;6.48;2475;38;154;Africa
Malta;701;9;665;27;1;0;0;128;9486;1.35;677;24;355;Europe
Mauritania;6208;156;4653;1399;37;0;223;251;7495;3.35;5923;285;481;Africa
Mauritius;344;10;332;2;0;0;0;291;9651;3.01;343;1;29;Africa
Mexico;395489;44022;303810;47657;4973;342;8588;1113;7682;14.49;349396;46093;1319;Americas
Moldova;23154;748;16154;6252;120;13;245;323;6977;4.63;21115;2039;966;Europe
Monaco;116;4;104;8;0;0;0;345;8966;3.85;109;7;642;Europe
Mongolia;289;0;222;67;1;0;4;0;7682;0.0;287;2;7;Western Pacific
Montenegro;2893;45;809;2039;94;2;70;156;2796;5.56;2188;705;3222;Europe
Morocco;20887;316;16553;4018;609;3;115;151;7925;1.91;17562;3325;1893;Eastern Mediterranean
Mozambique;1701;11;0;1690;32;0;0;65;0;inf;1507;194;1287;Africa
Namibia;1843;8;101;1734;68;0;26;43;548;7.92;1344;499;3713;Africa
Nepal;18752;48;13754;4950;139;3;626;26;7335;0.35;17844;908;509;South-East Asia
Netherlands;53413;6160;189;47064;419;1;0;1153;35;3259.26;52132;1281;246;Europe
New Zealand;1557;22;1514;21;1;0;1;141;9724;1.45;1555;2;13;Western Pacific
Nicaragua;3439;108;2492;839;0;0;0;314;7246;4.33;3147;292;928;Americas
Niger;1132;69;1027;36;0;0;0;61;9072;6.72;1105;27;244;Africa
Nigeria;41180;860;18203;22117;648;2;829;209;442;4.72;37225;3955;1062;Africa
North Macedonia;10213;466;5564;4183;127;6;137;456;5448;8.38;9249;964;1042;Europe
Norway;9132;255;8752;125;15;0;0;279;9584;2.91;9034;98;108;Europe
Oman;77058;393;57028;19637;1053;9;1729;51;7401;0.69;68400;8658;1266;Eastern Mediterranean
Pakistan;274289;5842;241026;27421;1176;20;3592;213;8787;2.42;266096;8193;308;Eastern Mediterranean
Panama;61442;1322;35086;25034;1146;28;955;215;571;3.77;54426;7016;1289;Americas
Papua New Guinea;62;0;11;51;0;0;0;0;1774;0.0;19;43;22632;Western Pacific
Paraguay;4548;43;2905;1600;104;2;111;95;6387;1.48;3748;800;2134;Americas
Peru;389717;18418;272547;98752;13756;575;4697;473;6993;6.76;357681;32036;896;Americas
Philippines;82040;1945;26446;53649;1592;13;336;237;3224;7.35;68898;13142;1907;Western Pacific
Poland;43402;1676;32856;8870;337;5;103;386;757;5.1;40383;3019;748;Europe
Portugal;50299;1719;35375;13205;135;2;158;342;7033;4.86;48771;1528;313;Europe
Qatar;109597;165;106328;3104;292;0;304;15;9702;0.16;107037;2560;239;Eastern Mediterranean
Romania;45902;2206;25794;17902;1104;19;151;481;5619;8.55;38139;7763;2035;Europe
Russia;816680;13334;602249;201097;5607;85;3077;163;7374;2.21;776212;40468;521;Europe
Rwanda;1879;5;975;899;58;0;57;27;5189;0.51;1629;250;1535;Africa
Saint Kitts and Nevis;17;0;15;2;0;0;0;0;8824;0.0;17;0;0;Americas
Saint Lucia;24;0;22;2;0;0;0;0;9167;0.0;23;1;435;Americas
Saint Vincent and the Grenadines;52;0;39;13;0;0;0;0;750;0.0;50;2;40;Americas
San Marino;699;42;657;0;0;0;0;601;9399;6.39;699;0;0;Europe
Sao Tome and Principe;865;14;734;117;2;0;38;162;8486;1.91;746;119;1595;Africa
Saudi Arabia;268934;2760;222936;43238;1993;27;2613;103;829;1.24;253349;15585;615;Eastern Mediterranean
Senegal;9764;194;6477;3093;83;3;68;199;6634;3.0;8948;816;912;Africa
Serbia;24141;543;0;23598;411;9;0;225;0;inf;21253;2888;1359;Europe
Seychelles;114;0;39;75;0;0;0;0;3421;0.0;108;6;556;Africa
Sierra Leone;1783;66;1317;400;0;0;4;37;7386;5.01;1711;72;421;Africa
